"Fb_set
[kN]","v_set
[km/h]",μ_m,"t2
[s]","Ta_max
[°C]","Energy
[kJ]"
23.0,50,0.408,12.0,67,512
23.0,80,0.383,22.1,101,1350
23.0,120,0.374,35.7,157,3072
23.0,160,0.376,49.1,209,5486
23.0,200,0.381,61.8,260,8599
23.0,250,0.383,78.4,348,13486
14.0,120,0.379,60.5,131,3101
14.0,160,0.402,78.4,178,5520
14.0,200,0.416,96.9,232,8638
14.0,250,0.426,120.1,319,13535
32.0,120,0.362,26.4,150,3054
32.0,160,0.367,35.4,216,5458
32.0,200,0.372,44.6,267,8563
32.0,250,0.364,57.7,355,13440
32.0,120,0.365,25.9,150,3052
32.0,160,0.371,35.0,217,5455
32.0,200,0.372,44.6,265,8560
32.0,250,0.367,57.5,352,13432
23.0,50,0.397,12.5,75,520
23.0,80,0.379,22.4,98,1349
23.0,120,0.380,35.3,139,3074
23.0,160,0.387,47.8,189,5489
23.0,200,0.396,60.0,251,8601
23.0,250,0.392,76.8,335,13485
14.0,120,0.383,59.5,128,3100
