0,1,2,3,4,5,6,7,8
盘1,盘2,盘3,盘4,盘5,盘6,片1,片2,片3
67.598,61.281,60.121,59.389,54.598,54.201,71.192,76.885,84.323
67.598,61.251,60.152,59.389,54.628,54.231,71.192,76.885,84.323
67.629,61.281,60.091,59.45,54.598,54.201,71.192,76.885,84.323
67.629,61.312,60.152,59.389,54.628,54.231,71.192,76.885,84.323
67.568,61.251,60.121,59.42,54.567,54.14,71.192,76.885,84.323
67.568,61.251,60.121,59.359,54.689,54.292,71.192,76.885,84.323
67.537,61.22,60.091,59.359,54.628,54.231,71.192,76.885,84.323
67.598,61.22,60.06,59.359,54.537,54.17,71.192,76.885,84.323
67.629,61.251,60.152,59.42,54.75,54.353,71.192,76.885,84.323
67.537,61.281,60.305,59.633,54.659,54.262,71.192,76.885,84.323
67.568,61.251,60.091,59.42,54.598,54.231,71.192,76.885,84.323
67.568,61.281,60.213,59.389,54.659,54.262,71.192,76.885,84.323
67.66,61.373,60.121,59.359,54.567,54.201,71.192,76.885,84.323
67.507,61.22,60.091,59.297,54.75,54.384,71.192,76.885,84.323
67.721,61.342,60.06,59.328,54.811,54.353,71.192,76.885,84.323
67.598,61.281,60.091,59.328,54.415,54.079,71.192,76.885,84.323
67.69,61.373,60.152,59.389,54.476,54.048,71.192,76.885,84.323
67.629,61.281,60.121,59.389,54.811,54.353,71.192,76.885,84.323
