t1,t2,t3,ave
68.636,61.556,59.816,63.336000000000006
68.545,61.464,59.847,63.28533333333334
68.606,61.464,59.786,63.285333333333334
68.545,61.525,59.847,63.30566666666667
68.575,61.495,59.847,63.30566666666667
68.667,61.586,59.816,63.35633333333333
68.575,61.464,59.816,63.285
68.545,61.403,59.786,63.24466666666667
68.636,61.525,59.847,63.336000000000006
68.514,61.464,59.786,63.25466666666667
68.545,61.495,59.847,63.29566666666667
68.667,61.525,59.847,63.34633333333334
68.545,61.495,59.816,63.285333333333334
68.667,61.586,59.877,63.376666666666665
68.636,61.556,59.908,63.366666666666674
68.575,61.464,59.786,63.275
68.606,61.525,59.847,63.326
68.361,61.373,59.786,63.17333333333334
68.545,61.495,59.786,63.27533333333333
68.606,61.525,59.816,63.315666666666665
68.514,61.434,59.786,63.24466666666666
68.606,61.525,59.847,63.326
68.575,61.434,59.755,63.25466666666667
68.575,61.525,59.816,63.30533333333333
68.606,61.495,59.847,63.316
68.575,61.556,59.816,63.315666666666665
68.514,61.434,59.755,63.234333333333325
68.667,61.617,59.908,63.397333333333336
68.545,61.434,59.786,63.254999999999995
68.545,61.464,59.816,63.275000000000006
68.575,61.525,59.816,63.30533333333333
68.545,61.434,59.816,63.26499999999999
68.514,61.525,59.816,63.285
68.697,61.586,59.908,63.39700000000001
68.636,61.556,59.877,63.35633333333334
68.545,61.434,59.786,63.254999999999995
68.514,61.403,59.786,63.23433333333333
68.606,61.434,59.847,63.29566666666667
68.514,61.434,59.786,63.24466666666666
68.606,61.525,59.816,63.315666666666665
68.575,61.464,59.816,63.285
68.606,61.525,59.816,63.315666666666665
68.575,61.464,59.816,63.285
68.575,61.464,59.786,63.275
68.575,61.434,59.786,63.26500000000001
68.636,61.525,59.847,63.336000000000006
68.514,61.403,59.786,63.23433333333333
68.545,61.464,59.847,63.28533333333334
68.545,61.434,59.755,63.24466666666666
68.422,61.312,59.725,63.15299999999999
68.606,61.525,59.816,63.315666666666665
68.514,61.464,59.816,63.26466666666667
68.545,61.464,59.816,63.275000000000006
68.575,61.464,59.816,63.285
68.575,61.525,59.847,63.315666666666665
68.484,61.373,59.786,63.214333333333336
68.789,61.647,59.877,63.43766666666667
68.575,61.464,59.816,63.285
68.606,61.464,59.847,63.30566666666667
68.606,61.525,59.816,63.315666666666665
68.575,61.434,59.816,63.275000000000006
68.636,61.525,59.847,63.336000000000006
68.636,61.464,59.847,63.315666666666665
68.484,61.312,59.908,63.23466666666667
68.575,61.525,59.908,63.33599999999999
68.514,61.434,59.847,63.26499999999999
68.636,61.556,59.877,63.35633333333334
68.545,61.495,59.816,63.285333333333334
68.606,61.525,59.847,63.326
68.606,61.495,59.816,63.30566666666667
68.575,61.464,59.847,63.29533333333333
68.636,61.525,59.847,63.336000000000006
68.606,61.464,59.847,63.30566666666667
68.575,61.525,59.816,63.30533333333333
68.667,61.586,59.847,63.36666666666667
68.606,61.525,59.847,63.326
68.514,61.403,59.816,63.24433333333334
68.606,61.525,59.816,63.315666666666665
68.606,61.495,59.816,63.30566666666667
68.484,61.434,59.786,63.23466666666667
68.636,61.495,59.816,63.315666666666665
68.636,61.525,59.816,63.32566666666667
68.667,61.525,59.816,63.336000000000006
68.667,61.495,59.847,63.336333333333336
68.636,61.525,59.816,63.32566666666667
68.575,61.495,59.786,63.285333333333334
68.606,61.495,59.816,63.30566666666667
68.575,61.434,59.847,63.28533333333334
68.545,61.525,59.816,63.29533333333333
68.667,61.525,59.908,63.366666666666674
68.728,61.617,59.877,63.407333333333334
68.575,61.464,59.755,63.26466666666666
68.606,61.556,59.847,63.33633333333333
68.575,61.434,59.847,63.28533333333334
68.667,61.525,59.847,63.34633333333334
68.606,61.495,59.786,63.29566666666667
68.514,61.434,59.816,63.25466666666666
68.514,61.403,59.725,63.214
68.575,61.495,59.847,63.30566666666667
68.606,61.434,59.847,63.29566666666667
68.575,61.434,59.786,63.26500000000001
68.606,61.495,59.816,63.30566666666667
68.545,61.403,59.786,63.24466666666667
68.667,61.556,59.877,63.366666666666674
68.606,61.495,59.847,63.316
68.606,61.464,59.847,63.30566666666667
68.606,61.464,59.847,63.30566666666667
68.606,61.525,59.877,63.336000000000006
68.667,61.464,59.877,63.336000000000006
68.575,61.464,59.877,63.30533333333333
68.575,61.464,59.816,63.285
68.392,61.251,59.633,63.092000000000006
68.667,61.495,59.847,63.336333333333336
68.636,61.525,59.877,63.346000000000004
68.636,61.464,59.877,63.32566666666667
68.606,61.434,59.877,63.30566666666667
68.636,61.525,59.908,63.35633333333334
68.636,61.556,59.847,63.34633333333334
68.484,61.403,59.786,63.224333333333334
68.667,61.525,59.938,63.376666666666665
68.606,61.495,59.816,63.30566666666667
68.545,61.464,59.816,63.275000000000006
68.606,61.495,59.847,63.316
68.606,61.464,59.847,63.30566666666667
68.575,61.464,59.847,63.29533333333333
68.484,61.342,59.755,63.193666666666665
68.606,61.464,59.847,63.30566666666667
68.606,61.525,59.847,63.326
68.697,61.525,59.908,63.376666666666665
68.636,61.525,59.908,63.35633333333334
68.606,61.434,59.816,63.285333333333334
68.667,61.525,59.877,63.35633333333334
68.606,61.495,59.877,63.326
68.514,61.434,59.816,63.25466666666666
68.667,61.525,59.908,63.366666666666674
68.606,61.495,59.877,63.326
68.636,61.495,59.847,63.326
68.636,61.464,59.908,63.33599999999999
68.636,61.525,59.938,63.36633333333333
68.575,61.464,59.816,63.285
68.667,61.464,59.694,63.275
68.636,61.464,59.847,63.315666666666665
68.636,61.464,59.786,63.29533333333333
68.575,61.434,59.847,63.28533333333334
68.636,61.556,59.908,63.366666666666674
68.514,61.373,59.786,63.224333333333334
68.606,61.434,59.816,63.285333333333334
68.636,61.525,59.847,63.336000000000006
68.575,61.464,59.847,63.29533333333333
68.667,61.525,59.847,63.34633333333334
68.606,61.464,59.877,63.315666666666665
68.697,61.525,59.908,63.376666666666665
68.575,61.403,59.786,63.25466666666667
68.575,61.434,59.816,63.275000000000006
68.667,61.525,59.877,63.35633333333334
68.636,61.495,59.908,63.34633333333333
68.606,61.434,59.877,63.30566666666667
68.636,61.464,59.908,63.33599999999999
68.575,61.434,59.847,63.28533333333334
68.484,61.403,59.847,63.24466666666667
68.545,61.434,59.816,63.26499999999999
68.606,61.434,59.908,63.315999999999995
68.636,61.495,59.877,63.336000000000006
68.636,61.495,59.908,63.34633333333333
68.697,61.617,59.908,63.40733333333333
68.667,61.464,59.908,63.34633333333333
68.606,61.525,59.877,63.336000000000006
68.667,61.495,59.908,63.35666666666666
68.575,61.464,59.938,63.325666666666656
68.667,61.464,59.877,63.336000000000006
68.636,61.434,59.877,63.315666666666665
68.636,61.586,59.908,63.376666666666665
68.697,61.556,59.847,63.36666666666667
68.667,61.525,59.877,63.35633333333334
68.606,61.464,59.877,63.315666666666665
68.789,61.647,60.03,63.48866666666667
68.667,61.556,59.877,63.366666666666674
68.667,61.586,59.908,63.387
68.606,61.495,59.877,63.326
68.758,61.617,59.938,63.437666666666665
68.667,61.495,59.877,63.34633333333334
68.697,61.586,59.938,63.407000000000004
68.819,61.617,59.938,63.458000000000006
68.697,61.556,59.938,63.39699999999999
68.606,61.525,59.816,63.315666666666665
68.636,61.525,59.877,63.346000000000004
68.667,61.495,59.908,63.35666666666666
68.728,61.556,59.908,63.397333333333336
68.545,61.373,59.816,63.24466666666667
68.667,61.495,59.908,63.35666666666666
68.697,61.556,59.908,63.387
68.728,61.556,59.847,63.377
68.758,61.556,59.877,63.397
68.575,61.495,59.908,63.326
68.667,61.525,59.847,63.34633333333334
68.606,61.525,59.908,63.34633333333333
68.575,61.464,59.755,63.26466666666666
68.758,61.586,59.938,63.42733333333333
68.758,61.586,59.908,63.41733333333334
68.697,61.556,59.877,63.376666666666665
68.697,61.586,59.938,63.407000000000004
68.667,61.464,59.877,63.336000000000006
68.697,61.525,59.816,63.346000000000004
68.636,61.464,59.877,63.32566666666667
68.697,61.586,59.908,63.39700000000001
68.667,61.403,59.847,63.30566666666667
68.667,61.495,59.877,63.34633333333334
68.728,61.495,59.877,63.36666666666667
68.728,61.556,59.908,63.397333333333336
68.697,61.556,59.877,63.376666666666665
68.697,61.495,59.847,63.34633333333334
68.575,61.464,59.847,63.29533333333333
68.636,61.525,59.877,63.346000000000004
68.636,61.525,59.938,63.36633333333333
68.728,61.617,59.908,63.41766666666666
68.667,61.495,59.877,63.34633333333334
68.667,61.586,60.091,63.448
68.667,61.525,59.877,63.35633333333334
68.697,61.556,59.938,63.39699999999999
68.85,61.647,59.877,63.458
68.636,61.525,59.877,63.346000000000004
68.758,61.586,59.908,63.41733333333334
68.758,61.617,59.816,63.397
68.636,61.495,59.908,63.34633333333333
68.697,61.556,59.938,63.39699999999999
68.667,61.556,59.877,63.366666666666674
68.697,61.556,59.877,63.376666666666665
68.697,61.495,59.877,63.35633333333334
68.728,61.556,59.908,63.397333333333336
68.606,61.464,59.847,63.30566666666667
68.636,61.464,59.847,63.315666666666665
68.636,61.525,59.847,63.336000000000006
68.636,61.495,59.816,63.315666666666665
68.819,61.647,59.938,63.467999999999996
68.606,61.403,59.816,63.275
68.728,61.525,59.877,63.376666666666665
68.606,61.495,59.847,63.316
68.728,61.525,59.938,63.39699999999999
68.667,61.525,59.877,63.35633333333334
68.667,61.525,59.908,63.366666666666674
68.667,61.525,59.877,63.35633333333334
68.606,61.434,59.816,63.285333333333334
68.697,61.495,59.877,63.35633333333334
68.728,61.556,59.908,63.397333333333336
68.636,61.434,59.786,63.285333333333334
68.636,61.495,59.908,63.34633333333333
68.667,61.434,59.847,63.316
68.606,61.464,59.877,63.315666666666665
68.728,61.586,59.938,63.41733333333334
68.667,61.495,59.877,63.34633333333334
68.667,61.556,59.877,63.366666666666674
68.728,61.525,59.908,63.387
68.667,61.495,59.847,63.336333333333336
68.697,61.464,59.877,63.346000000000004
68.697,61.495,59.908,63.366666666666674
68.728,61.586,59.938,63.41733333333334
68.697,61.495,59.847,63.34633333333334
68.667,61.464,59.908,63.34633333333333
68.636,61.495,59.908,63.34633333333333
68.789,61.586,59.877,63.41733333333334
68.697,61.525,59.969,63.397
68.697,61.495,59.877,63.35633333333334
68.606,61.434,59.816,63.285333333333334
68.697,61.464,59.877,63.346000000000004
68.636,61.495,59.847,63.326
68.728,61.495,59.908,63.37699999999999
68.667,61.495,59.877,63.34633333333334
68.758,61.586,59.938,63.42733333333333
68.636,61.525,59.877,63.346000000000004
68.606,61.464,59.847,63.30566666666667
68.697,61.586,59.908,63.39700000000001
68.667,61.495,59.877,63.34633333333334
68.789,61.647,59.847,63.427666666666674
68.636,61.464,59.908,63.33599999999999
68.667,61.464,59.877,63.336000000000006
68.606,61.495,59.877,63.326
68.758,61.586,59.938,63.42733333333333
68.575,61.434,59.847,63.28533333333334
68.545,61.403,59.816,63.25466666666667
68.667,61.495,59.877,63.34633333333334
68.606,61.434,59.877,63.30566666666667
68.789,61.556,59.908,63.41766666666666
68.697,61.525,59.847,63.35633333333334
68.575,61.403,59.847,63.275000000000006
68.636,61.434,59.816,63.29533333333333
68.606,61.464,59.786,63.285333333333334
68.606,61.464,59.847,63.30566666666667
68.667,61.525,59.908,63.366666666666674
68.667,61.556,59.908,63.37700000000001
68.728,61.525,59.877,63.376666666666665
68.636,61.434,59.847,63.30566666666667
68.575,61.464,59.908,63.315666666666665
68.514,61.373,59.725,63.204
68.667,61.464,59.755,63.29533333333333
68.697,61.525,59.816,63.346000000000004
68.667,61.495,59.847,63.336333333333336
68.667,61.434,59.816,63.30566666666667
68.636,61.464,59.847,63.315666666666665
68.667,61.403,59.847,63.30566666666667
68.667,61.495,59.908,63.35666666666666
68.636,61.525,59.877,63.346000000000004
68.728,61.525,59.908,63.387
68.728,61.525,59.908,63.387
68.606,61.434,59.816,63.285333333333334
68.697,61.495,59.877,63.35633333333334
68.667,61.495,59.877,63.34633333333334
68.697,61.525,59.908,63.376666666666665
68.819,61.586,59.877,63.42733333333334
68.728,61.525,59.908,63.387
68.758,61.556,59.847,63.387
68.758,61.556,59.877,63.397
68.667,61.434,59.847,63.316
68.697,61.525,59.877,63.36633333333334
68.697,61.525,59.847,63.35633333333334
68.636,61.373,59.816,63.275
68.636,61.525,59.877,63.346000000000004
68.697,61.495,59.847,63.34633333333334
68.697,61.464,59.847,63.336000000000006
68.697,61.464,59.877,63.346000000000004
68.697,61.556,59.877,63.376666666666665
68.453,61.312,59.786,63.18366666666666
68.667,61.434,59.908,63.336333333333336
68.636,61.464,59.816,63.30533333333333
68.728,61.495,59.816,63.34633333333333
68.697,61.464,59.816,63.32566666666667
68.728,61.556,59.877,63.387
68.545,61.434,59.816,63.26499999999999
68.667,61.495,59.816,63.326
68.667,61.464,59.847,63.326
68.575,61.403,59.786,63.25466666666667
68.636,61.464,59.816,63.30533333333333
68.667,61.495,59.847,63.336333333333336
68.667,61.495,59.877,63.34633333333334
68.667,61.464,59.847,63.326
68.636,61.434,59.816,63.29533333333333
68.728,61.525,59.877,63.376666666666665
68.697,61.495,59.847,63.34633333333334
68.758,61.495,59.847,63.36666666666667
68.728,61.464,59.816,63.336000000000006
68.606,61.464,59.816,63.29533333333333
68.636,61.434,59.816,63.29533333333333
68.697,61.434,59.816,63.315666666666665
68.575,61.403,59.816,63.26466666666667
68.575,61.403,59.816,63.26466666666667
68.667,61.464,59.847,63.326
68.667,61.434,59.847,63.316
68.728,61.525,59.847,63.36666666666667
68.667,61.403,59.786,63.285333333333334
68.636,61.434,59.847,63.30566666666667
68.636,61.403,59.786,63.275
68.728,61.464,59.908,63.366666666666674
68.667,61.464,59.786,63.30566666666667
68.606,61.403,59.816,63.275
68.697,61.464,59.877,63.346000000000004
68.636,61.434,59.786,63.285333333333334
68.728,61.464,59.847,63.34633333333334
68.575,61.312,59.755,63.214
68.453,61.251,59.694,63.13266666666667
68.545,61.403,59.786,63.24466666666667
68.667,61.495,59.847,63.336333333333336
68.728,61.495,59.847,63.35666666666666
68.728,61.464,59.816,63.336000000000006
68.636,61.434,59.816,63.29533333333333
68.667,61.464,59.847,63.326
68.422,61.251,59.725,63.132666666666665
68.575,61.403,59.725,63.23433333333333
68.636,61.464,59.816,63.30533333333333
68.636,61.403,59.816,63.285
68.606,61.403,59.786,63.26499999999999
68.575,61.342,59.908,63.275
68.606,61.495,59.938,63.34633333333333
68.636,61.464,59.877,63.32566666666667
68.697,61.525,59.847,63.35633333333334
68.636,61.403,59.816,63.285
68.636,61.403,59.786,63.275
68.667,61.464,59.786,63.30566666666667
68.606,61.434,59.786,63.27533333333333
68.636,61.434,59.847,63.30566666666667
68.422,61.251,59.786,63.153
68.697,61.464,59.877,63.346000000000004
68.667,61.495,59.816,63.326
68.636,61.434,59.816,63.29533333333333
68.667,61.464,59.847,63.326
68.636,61.464,59.786,63.29533333333333
68.575,61.464,59.786,63.275
68.575,61.342,59.725,63.214
68.606,61.434,59.786,63.27533333333333
68.575,61.403,59.755,63.24433333333334
68.606,61.434,59.786,63.27533333333333
68.697,61.495,59.786,63.326
68.606,61.403,59.816,63.275
68.575,61.373,59.755,63.23433333333333
68.545,61.403,59.786,63.24466666666667
68.636,61.464,59.816,63.30533333333333
68.728,61.525,59.816,63.35633333333333
68.728,61.525,59.847,63.36666666666667
68.606,61.403,59.755,63.25466666666666
68.667,61.495,59.816,63.326
68.575,61.403,59.755,63.24433333333334
68.728,61.495,59.816,63.34633333333333
68.667,61.403,59.816,63.29533333333333
68.606,61.434,59.755,63.26499999999999
68.575,61.373,59.725,63.224333333333334
68.636,61.434,59.816,63.29533333333333
68.667,61.434,59.786,63.29566666666667
68.606,61.373,59.786,63.254999999999995
68.636,61.403,59.786,63.275
68.697,61.556,59.816,63.35633333333333
68.636,61.434,59.816,63.29533333333333
68.667,61.403,59.786,63.285333333333334
68.545,61.373,59.786,63.23466666666667
68.636,61.403,59.816,63.285
68.545,61.342,59.755,63.214
68.606,61.434,59.786,63.27533333333333
68.575,61.403,59.755,63.24433333333334
68.636,61.403,59.847,63.29533333333333
68.575,61.373,59.786,63.24466666666667
68.575,61.403,59.755,63.24433333333334
68.606,61.434,59.816,63.285333333333334
68.636,61.434,59.755,63.275
68.606,61.495,59.847,63.316
68.728,61.525,59.847,63.36666666666667
68.575,61.434,59.786,63.26500000000001
68.545,61.342,59.786,63.224333333333334
68.575,61.403,59.755,63.24433333333334
68.545,61.373,59.755,63.224333333333334
68.422,61.251,59.725,63.132666666666665
68.484,61.373,59.755,63.204
68.514,61.373,59.755,63.214
68.667,61.495,59.847,63.336333333333336
68.575,61.403,59.786,63.25466666666667
68.575,61.403,59.786,63.25466666666667
68.606,61.434,59.786,63.27533333333333
68.606,61.434,59.816,63.285333333333334
68.606,61.403,59.816,63.275
68.545,61.434,59.725,63.23466666666666
68.545,61.373,59.755,63.224333333333334
68.575,61.403,59.816,63.26466666666667
68.606,61.434,59.816,63.285333333333334
68.667,61.464,59.786,63.30566666666667
68.606,61.434,59.816,63.285333333333334
68.606,61.403,59.786,63.26499999999999
68.697,61.525,59.877,63.36633333333334
68.606,61.434,59.786,63.27533333333333
68.514,61.373,59.755,63.214
68.514,61.373,59.755,63.214
68.728,61.495,59.694,63.30566666666666
68.575,61.403,59.755,63.24433333333334
68.636,61.403,59.755,63.26466666666666
68.484,61.373,59.786,63.214333333333336
68.514,61.312,59.786,63.204
68.484,61.312,59.755,63.18366666666666
68.667,61.403,59.847,63.30566666666667
68.514,61.342,59.725,63.193666666666665
68.575,61.464,59.816,63.285
68.484,61.373,59.755,63.204
68.453,61.281,59.694,63.14266666666666
68.667,61.464,59.847,63.326
68.667,61.434,59.786,63.29566666666667
68.453,61.373,59.786,63.204
68.636,61.434,59.786,63.285333333333334
68.636,61.403,59.816,63.285
68.545,61.434,59.816,63.26499999999999
68.545,61.373,59.755,63.224333333333334
68.514,61.403,59.786,63.23433333333333
68.545,61.403,59.816,63.25466666666667
68.606,61.434,59.816,63.285333333333334
68.636,61.434,59.816,63.29533333333333
68.606,61.403,59.786,63.26499999999999
68.514,61.342,59.755,63.20366666666666
68.545,61.342,59.725,63.204
68.575,61.403,59.786,63.25466666666667
68.606,61.434,59.816,63.285333333333334
68.667,61.464,59.816,63.315666666666665
68.575,61.464,59.786,63.275
68.545,61.403,59.816,63.25466666666667
68.575,61.434,59.816,63.275000000000006
68.545,61.434,59.694,63.224333333333334
68.514,61.373,59.725,63.204
68.514,61.403,59.725,63.214
68.453,61.373,59.786,63.204
68.545,61.403,59.816,63.25466666666667
68.484,61.403,59.786,63.224333333333334
68.545,61.373,59.786,63.23466666666667
68.484,61.312,59.725,63.17366666666666
68.575,61.434,59.847,63.28533333333334
68.575,61.464,59.786,63.275
68.636,61.464,59.816,63.30533333333333
68.606,61.495,59.786,63.29566666666667
68.514,61.342,59.786,63.214
68.514,61.403,59.725,63.214
68.545,61.373,59.755,63.224333333333334
68.575,61.403,59.816,63.26466666666667
68.667,61.495,59.847,63.336333333333336
68.545,61.434,59.755,63.24466666666666
68.484,61.312,59.664,63.15333333333333
68.514,61.495,59.755,63.25466666666666
68.484,61.373,59.694,63.18366666666666
68.667,61.464,59.816,63.315666666666665
68.575,61.403,59.755,63.24433333333334
68.575,61.434,59.786,63.26500000000001
68.422,61.342,59.694,63.152666666666676
68.545,61.403,59.755,63.23433333333333
68.484,61.403,59.755,63.214
68.575,61.434,59.755,63.25466666666667
68.453,61.342,59.694,63.16300000000001
68.545,61.342,59.725,63.204
68.728,61.525,59.847,63.36666666666667
68.575,61.403,59.755,63.24433333333334
68.545,61.373,59.786,63.23466666666667
68.484,61.403,59.725,63.204
68.575,61.403,59.725,63.23433333333333
68.453,61.312,59.664,63.142999999999994
