t1,t2,t3,ave
67.69,62.349,59.542,63.193666666666665
67.598,62.319,59.572,63.163000000000004
67.751,62.471,59.633,63.285000000000004
67.568,62.319,59.511,63.132666666666665
67.782,62.38,59.633,63.26500000000001
67.568,62.288,59.542,63.132666666666665
67.537,62.288,59.511,63.111999999999995
67.721,62.38,59.542,63.214333333333336
67.598,62.288,59.542,63.14266666666666
67.598,62.288,59.511,63.13233333333333
67.66,62.319,59.603,63.193999999999996
67.385,62.136,59.45,62.99033333333333
67.568,62.288,59.481,63.11233333333333
67.629,62.349,59.603,63.19366666666667
67.598,62.288,59.511,63.13233333333333
67.69,62.38,59.572,63.214
67.66,62.288,59.511,63.15299999999999
67.598,62.349,59.45,63.13233333333333
67.629,62.288,59.511,63.14266666666666
67.751,62.441,59.572,63.25466666666667
67.629,62.349,59.511,63.163000000000004
67.598,62.319,59.542,63.153
67.598,62.38,59.481,63.153
67.629,62.349,59.511,63.163000000000004
67.568,62.288,59.542,63.132666666666665
67.598,62.288,59.511,63.13233333333333
67.537,62.258,59.511,63.102000000000004
67.66,62.319,59.542,63.17366666666666
67.598,62.288,59.542,63.14266666666666
67.598,62.288,59.481,63.12233333333333
67.537,62.258,59.481,63.092000000000006
67.69,62.38,59.603,63.224333333333334
67.537,62.197,59.481,63.071666666666665
67.568,62.319,59.511,63.132666666666665
67.598,62.288,59.481,63.12233333333333
67.598,62.288,59.542,63.14266666666666
67.598,62.319,59.481,63.132666666666665
67.66,62.288,59.542,63.16333333333333
67.66,62.319,59.542,63.17366666666666
67.476,62.197,59.45,63.041
67.507,62.197,59.45,63.05133333333333
67.69,62.38,59.603,63.224333333333334
67.598,62.288,59.511,63.13233333333333
67.598,62.288,59.511,63.13233333333333
67.69,62.349,59.572,63.20366666666666
67.537,62.258,59.511,63.102000000000004
67.629,62.38,59.542,63.183666666666674
67.629,62.349,59.542,63.17333333333334
67.751,62.471,59.572,63.26466666666667
67.629,62.319,59.572,63.17333333333334
67.568,62.258,59.481,63.10233333333333
67.629,62.38,59.511,63.17333333333334
67.598,62.319,59.542,63.153
67.69,62.349,59.542,63.193666666666665
67.629,62.319,59.511,63.153
67.598,62.288,59.511,63.13233333333333
67.568,62.319,59.511,63.132666666666665
67.598,62.349,59.542,63.163000000000004
67.66,62.38,59.572,63.204
67.66,62.349,59.572,63.193666666666665
67.568,62.319,59.542,63.143
67.598,62.288,59.542,63.14266666666666
67.751,62.471,59.633,63.285000000000004
67.568,62.319,59.572,63.153
67.537,62.319,59.481,63.11233333333333
67.629,62.41,59.572,63.20366666666666
67.507,62.349,59.542,63.132666666666665
67.537,62.288,59.481,63.102
67.66,62.41,59.542,63.204
67.598,62.288,59.542,63.14266666666666
67.598,62.349,59.572,63.173
67.598,62.349,59.511,63.15266666666667
67.598,62.319,59.572,63.163000000000004
67.568,62.319,59.542,63.143
67.598,62.319,59.511,63.14266666666666
67.629,62.441,59.511,63.193666666666665
67.782,62.41,59.511,63.23433333333333
67.476,62.258,59.42,63.05133333333333
67.537,62.258,59.42,63.07166666666668
67.568,62.38,59.511,63.153
67.598,62.288,59.542,63.14266666666666
67.537,62.319,59.511,63.12233333333333
67.598,62.349,59.511,63.15266666666667
67.598,62.319,59.633,63.18333333333334
67.629,62.41,59.603,63.214
67.537,62.349,59.572,63.15266666666667
67.507,62.319,59.511,63.11233333333334
67.69,62.38,59.572,63.214
67.598,62.38,59.572,63.18333333333334
67.629,62.38,59.542,63.183666666666674
67.629,62.349,59.572,63.18333333333334
67.476,62.227,59.45,63.05100000000001
67.568,62.319,59.542,63.143
67.537,62.258,59.542,63.11233333333334
67.446,62.288,59.542,63.09199999999999
67.537,62.288,59.542,63.12233333333333
67.537,62.288,59.542,63.12233333333333
67.598,62.349,59.572,63.173
67.69,62.41,59.664,63.25466666666667
67.843,62.471,59.694,63.33599999999999
67.629,62.349,59.572,63.18333333333334
67.537,62.349,59.542,63.14266666666666
67.598,62.349,59.572,63.173
67.476,62.349,59.542,63.12233333333333
67.507,62.319,59.542,63.122666666666674
67.568,62.349,59.542,63.153
67.66,62.41,59.633,63.23433333333333
67.537,62.349,59.542,63.14266666666666
67.629,62.41,59.572,63.20366666666666
67.537,62.319,59.542,63.132666666666665
67.568,62.38,59.542,63.163333333333334
67.598,62.38,59.572,63.18333333333334
67.598,62.38,59.542,63.17333333333334
67.598,62.349,59.572,63.173
67.568,62.349,59.542,63.153
67.537,62.38,59.542,63.153
67.568,62.349,59.511,63.14266666666666
67.629,62.441,59.572,63.214
67.598,62.38,59.572,63.18333333333334
67.598,62.41,59.511,63.172999999999995
67.568,62.441,59.572,63.19366666666667
67.537,62.349,59.572,63.15266666666667
67.537,62.319,59.542,63.132666666666665
67.66,62.41,59.542,63.204
67.568,62.349,59.511,63.14266666666666
67.537,62.319,59.511,63.12233333333333
67.598,62.38,59.542,63.17333333333334
67.598,62.38,59.572,63.18333333333334
67.568,62.38,59.511,63.153
67.598,62.38,59.572,63.18333333333334
67.568,62.38,59.542,63.163333333333334
67.568,62.349,59.511,63.14266666666666
67.537,62.319,59.481,63.11233333333333
67.507,62.258,59.45,63.07166666666668
67.69,62.441,59.542,63.224333333333334
67.537,62.288,59.511,63.111999999999995
67.598,62.38,59.542,63.17333333333334
67.598,62.41,59.542,63.18333333333333
67.537,62.349,59.542,63.14266666666666
67.568,62.349,59.481,63.132666666666665
67.629,62.38,59.542,63.183666666666674
67.568,62.319,59.511,63.132666666666665
67.507,62.288,59.45,63.08166666666667
67.69,62.441,59.511,63.214
67.537,62.319,59.511,63.12233333333333
67.568,62.319,59.481,63.12266666666667
67.507,62.288,59.45,63.08166666666667
67.507,62.288,59.481,63.092000000000006
67.507,62.349,59.511,63.12233333333333
67.568,62.38,59.511,63.153
67.446,62.319,59.481,63.081999999999994
67.629,62.349,59.481,63.153
67.415,62.288,59.511,63.071333333333335
67.598,62.319,59.511,63.14266666666666
67.598,62.441,59.542,63.193666666666665
67.598,62.349,59.511,63.15266666666667
67.476,62.38,59.481,63.11233333333333
67.629,62.41,59.511,63.18333333333333
67.598,62.349,59.511,63.15266666666667
67.507,62.288,59.481,63.092000000000006
67.66,62.38,59.511,63.18366666666666
67.537,62.349,59.511,63.13233333333333
67.69,62.41,59.572,63.224
67.537,62.258,59.42,63.07166666666668
67.507,62.349,59.481,63.11233333333333
67.598,62.38,59.481,63.153
67.507,62.319,59.481,63.10233333333334
67.507,62.349,59.481,63.11233333333333
67.476,62.349,59.481,63.102
67.537,62.349,59.45,63.112
67.568,62.349,59.511,63.14266666666666
67.568,62.349,59.481,63.132666666666665
67.476,62.319,59.42,63.07166666666668
67.568,62.38,59.511,63.153
67.507,62.319,59.45,63.092000000000006
67.537,62.38,59.481,63.132666666666665
67.507,62.319,59.45,63.092000000000006
67.629,62.38,59.481,63.163333333333334
67.537,62.41,59.481,63.14266666666666
67.537,62.319,59.45,63.102
67.598,62.349,59.511,63.15266666666667
67.446,62.288,59.511,63.081666666666656
67.537,62.319,59.45,63.102
67.476,62.288,59.42,63.061333333333344
67.568,62.38,59.511,63.153
67.568,62.349,59.481,63.132666666666665
67.476,62.319,59.42,63.07166666666668
67.598,62.38,59.511,63.163000000000004
67.385,62.227,59.42,63.01066666666666
67.446,62.288,59.389,63.041
67.568,62.319,59.389,63.092000000000006
67.568,62.349,59.45,63.12233333333334
67.568,62.38,59.45,63.13266666666667
67.537,62.288,59.45,63.09166666666666
67.476,62.288,59.42,63.061333333333344
67.507,62.349,59.481,63.11233333333333
67.537,62.349,59.481,63.12233333333333
67.629,62.38,59.481,63.163333333333334
67.598,62.41,59.572,63.19333333333333
67.537,62.319,59.45,63.102
67.537,62.319,59.481,63.11233333333333
67.568,62.349,59.481,63.132666666666665
67.537,62.349,59.45,63.112
67.507,62.258,59.389,63.05133333333334
67.629,62.38,59.481,63.163333333333334
67.537,62.349,59.511,63.13233333333333
67.598,62.319,59.481,63.132666666666665
67.476,62.349,59.481,63.102
67.568,62.38,59.511,63.153
67.598,62.41,59.542,63.18333333333333
67.507,62.41,59.511,63.14266666666666
67.476,62.258,59.45,63.061333333333344
67.629,62.349,59.511,63.163000000000004
67.66,62.41,59.511,63.193666666666665
67.446,62.288,59.481,63.07166666666666
67.537,62.38,59.511,63.14266666666666
67.598,62.349,59.481,63.14266666666666
67.568,62.41,59.542,63.17333333333334
67.476,62.227,59.359,63.02066666666667
67.324,62.166,59.328,62.93933333333334
67.629,62.38,59.511,63.17333333333334
67.507,62.319,59.481,63.10233333333334
67.446,62.288,59.45,63.06133333333332
67.598,62.349,59.45,63.13233333333333
67.568,62.38,59.542,63.163333333333334
67.385,62.197,59.45,63.01066666666666
67.598,62.349,59.481,63.14266666666666
67.568,62.288,59.42,63.092000000000006
67.66,62.441,59.389,63.163333333333334
67.629,62.319,59.389,63.11233333333334
67.568,62.349,59.42,63.11233333333333
67.507,62.227,59.389,63.041000000000004
67.354,62.166,59.42,62.98
67.568,62.319,59.45,63.11233333333333
