t1,t2,t3,ave
50.691,50.264,48.738,49.89766666666667
50.691,50.264,48.677,49.87733333333333
50.783,50.356,48.799,49.97933333333334
50.874,50.447,48.769,50.03
50.783,50.356,48.769,49.96933333333334
50.813,50.325,48.769,49.969
50.752,50.325,48.738,49.93833333333333
50.905,50.478,48.799,50.06066666666667
50.752,50.356,48.769,49.959
50.844,50.447,48.799,50.03
50.752,50.356,48.799,49.969
50.783,50.417,48.799,49.99966666666666
50.783,50.356,48.769,49.96933333333334
50.722,50.325,48.799,49.94866666666667
50.874,50.478,48.891,50.080999999999996
50.752,50.356,48.799,49.969
50.966,50.478,48.891,50.11166666666667
50.874,50.447,48.83,50.050333333333334
50.783,50.417,48.83,50.01
50.722,50.295,48.769,49.928666666666665
50.783,50.356,48.799,49.97933333333334
50.996,50.539,48.86,50.13166666666666
50.722,50.356,48.769,49.949000000000005
50.813,50.386,48.891,50.03
50.752,50.386,48.83,49.98933333333334
50.783,50.417,48.83,50.01
50.691,50.356,48.799,49.94866666666667
50.752,50.386,48.83,49.98933333333334
50.783,50.417,48.891,50.03033333333334
50.813,50.417,48.83,50.02
50.752,50.386,48.799,49.979000000000006
50.813,50.386,48.799,49.99933333333334
50.844,50.417,48.83,50.03033333333334
50.722,50.386,48.799,49.969
50.783,50.417,48.83,50.01
50.813,50.417,48.799,50.00966666666667
50.752,50.447,48.769,49.98933333333334
50.661,50.295,48.769,49.90833333333333
50.783,50.356,48.738,49.959
50.722,50.325,48.738,49.928333333333335
50.905,50.447,48.647,49.99966666666666
50.844,50.386,48.738,49.98933333333334
50.783,50.447,48.769,49.99966666666666
50.722,50.356,48.769,49.949000000000005
50.661,50.295,48.708,49.888
50.813,50.447,48.891,50.050333333333334
50.661,50.325,48.677,49.88766666666667
50.691,50.295,48.708,49.898
50.569,50.233,48.769,49.857
50.844,50.478,48.769,50.03033333333334
50.691,50.325,48.738,49.918000000000006
50.691,50.356,48.769,49.93866666666667
50.966,50.539,48.921,50.141999999999996
50.905,50.508,48.83,50.080999999999996
50.905,50.478,48.769,50.05066666666667
50.813,50.447,48.83,50.03
50.783,50.447,48.83,50.02
50.722,50.356,48.799,49.959
50.752,50.356,48.738,49.94866666666667
50.874,50.569,48.891,50.111333333333334
50.752,50.417,48.799,49.98933333333334
