t1,t2,t3,ave
66.561,62.532,59.664,62.919000000000004
66.561,62.532,59.694,62.92900000000001
66.53,62.502,59.633,62.88833333333334
66.561,62.532,59.664,62.919000000000004
66.469,62.502,59.633,62.868
66.591,62.502,59.664,62.919000000000004
66.561,62.532,59.664,62.919000000000004
66.713,62.655,59.755,63.041
66.591,62.563,59.725,62.959666666666664
66.53,62.532,59.664,62.90866666666667
66.5,62.471,59.664,62.87833333333333
66.561,62.593,59.694,62.949333333333335
66.5,62.502,59.633,62.87833333333334
66.53,62.502,59.633,62.88833333333334
66.5,62.502,59.664,62.888666666666666
66.5,62.502,59.725,62.909
66.5,62.502,59.694,62.89866666666668
66.591,62.532,59.725,62.94933333333333
66.53,62.471,59.664,62.88833333333334
66.561,62.532,59.633,62.908666666666676
66.5,62.502,59.725,62.909
66.53,62.471,59.725,62.90866666666667
66.652,62.624,59.786,63.02066666666667
66.53,62.502,59.694,62.90866666666667
66.53,62.532,59.694,62.918666666666674
66.561,62.532,59.664,62.919000000000004
66.53,62.532,59.664,62.90866666666667
66.53,62.471,59.633,62.87800000000001
66.53,62.563,59.877,62.99000000000001
66.53,62.502,59.725,62.919000000000004
66.591,62.624,59.755,62.99
66.591,62.532,59.694,62.939
66.53,62.532,59.694,62.918666666666674
66.53,62.502,59.664,62.89866666666668
66.561,62.563,59.664,62.92933333333334
66.469,62.532,59.694,62.89833333333333
66.591,62.563,59.694,62.949333333333335
66.469,62.502,59.633,62.868
66.53,62.502,59.664,62.89866666666668
66.561,62.532,59.694,62.92900000000001
66.53,62.502,59.664,62.89866666666668
66.53,62.532,59.664,62.90866666666667
66.53,62.563,59.725,62.93933333333334
66.5,62.502,59.633,62.87833333333334
66.469,62.502,59.694,62.88833333333334
66.561,62.563,59.725,62.94966666666667
66.439,62.441,59.603,62.827666666666666
66.469,62.471,59.633,62.85766666666667
66.561,62.532,59.694,62.92900000000001
66.591,62.532,59.694,62.939
66.5,62.532,59.664,62.89866666666666
66.5,62.502,59.664,62.888666666666666
66.469,62.502,59.664,62.87833333333333
66.408,62.502,59.694,62.867999999999995
66.591,62.563,59.694,62.949333333333335
66.53,62.502,59.633,62.88833333333334
66.53,62.532,59.664,62.90866666666667
66.469,62.502,59.633,62.868
66.439,62.502,59.633,62.858000000000004
66.469,62.502,59.633,62.868
66.5,62.471,59.664,62.87833333333333
66.591,62.593,59.725,62.96966666666666
66.622,62.532,59.694,62.949333333333335
66.469,62.502,59.664,62.87833333333333
66.5,62.502,59.694,62.89866666666668
66.53,62.563,59.633,62.908666666666676
66.469,62.471,59.633,62.85766666666667
66.5,62.502,59.664,62.888666666666666
66.378,62.441,59.542,62.787000000000006
66.469,62.471,59.694,62.87800000000001
66.469,62.502,59.725,62.898666666666664
66.5,62.471,59.694,62.88833333333334
66.469,62.532,59.694,62.89833333333333
66.53,62.502,59.694,62.90866666666667
66.53,62.532,59.694,62.918666666666674
66.469,62.502,59.664,62.87833333333333
66.561,62.532,59.664,62.919000000000004
66.53,62.532,59.725,62.929
66.561,62.563,59.694,62.939333333333344
66.5,62.502,59.633,62.87833333333334
66.5,62.532,59.664,62.89866666666666
66.439,62.441,59.633,62.83766666666667
66.469,62.471,59.664,62.867999999999995
66.439,62.502,59.633,62.858000000000004
66.5,62.502,59.664,62.888666666666666
66.439,62.471,59.633,62.84766666666667
66.5,62.502,59.664,62.888666666666666
66.591,62.532,59.664,62.928999999999995
66.652,62.685,59.725,63.02066666666666
66.469,62.502,59.694,62.88833333333334
66.5,62.502,59.664,62.888666666666666
66.469,62.502,59.664,62.87833333333333
66.53,62.563,59.694,62.92900000000001
66.561,62.532,59.633,62.908666666666676
66.439,62.502,59.694,62.87833333333333
66.53,62.563,59.725,62.93933333333334
66.469,62.471,59.694,62.87800000000001
66.408,62.502,59.633,62.84766666666667
66.53,62.532,59.664,62.90866666666667
66.5,62.532,59.725,62.91899999999999
66.561,62.532,59.664,62.919000000000004
66.53,62.532,59.694,62.918666666666674
66.53,62.563,59.664,62.919000000000004
66.5,62.41,59.572,62.827333333333335
66.591,62.593,59.572,62.91866666666667
66.683,62.593,59.603,62.95966666666667
66.53,62.563,59.664,62.919000000000004
66.5,62.471,59.664,62.87833333333333
66.408,62.441,59.603,62.81733333333333
66.561,62.471,59.694,62.90866666666667
66.53,62.532,59.725,62.929
66.5,62.502,59.633,62.87833333333334
66.408,62.441,59.603,62.81733333333333
66.622,62.593,59.725,62.98
66.469,62.441,59.633,62.84766666666667
66.5,62.532,59.633,62.88833333333333
66.683,62.655,59.786,63.04133333333334
