t1,t2,t3,ave
64.669,61.831,59.359,61.953
64.608,61.8,59.359,61.922333333333334
64.73,61.861,59.45,62.013666666666666
64.699,61.861,59.389,61.983000000000004
64.547,61.8,59.389,61.912
64.73,61.861,59.389,61.99333333333334
64.73,61.861,59.42,62.003666666666675
64.73,61.892,59.45,62.024
64.669,61.8,59.389,61.952666666666666
64.699,61.861,59.389,61.983000000000004
64.73,61.861,59.45,62.013666666666666
64.73,61.861,59.389,61.99333333333334
64.76,61.892,59.389,62.01366666666667
64.699,61.861,59.45,62.00333333333333
64.73,61.861,59.389,61.99333333333334
64.669,61.8,59.359,61.94266666666667
64.699,61.8,59.359,61.952666666666666
64.76,61.892,59.481,62.044333333333334
64.882,61.983,59.542,62.13566666666667
64.669,61.831,59.359,61.953
64.821,61.953,59.45,62.074666666666666
64.73,61.892,59.389,62.003666666666675
64.608,61.739,59.359,61.90200000000001
64.669,61.892,59.359,61.973333333333336
64.638,61.8,59.328,61.922000000000004
64.76,61.892,59.389,62.01366666666667
64.699,61.8,59.389,61.96266666666667
64.73,61.861,59.42,62.003666666666675
64.699,61.892,59.389,61.99333333333334
64.699,61.892,59.359,61.98333333333334
64.669,61.861,59.359,61.963
64.76,61.861,59.42,62.013666666666666
64.669,61.861,59.359,61.963
64.669,61.831,59.389,61.963
64.821,61.953,59.45,62.074666666666666
64.638,61.8,59.389,61.94233333333333
64.699,61.861,59.389,61.983000000000004
64.669,61.861,59.359,61.963
64.608,61.831,59.359,61.93266666666667
64.638,61.861,59.389,61.96266666666667
64.638,61.831,59.389,61.952666666666666
64.577,61.739,59.42,61.912
64.669,61.892,59.45,62.003666666666675
64.699,61.831,59.389,61.973000000000006
64.699,61.922,59.389,62.00333333333333
64.669,61.892,59.389,61.98333333333334
64.73,61.922,59.42,62.024
64.791,61.953,59.42,62.05466666666666
64.577,61.831,59.328,61.912
64.699,61.892,59.389,61.99333333333334
64.638,61.831,59.42,61.963
64.608,61.861,59.389,61.952666666666666
64.669,61.861,59.389,61.973000000000006
64.608,61.831,59.389,61.94266666666667
64.73,61.983,59.42,62.04433333333333
64.638,61.8,59.328,61.922000000000004
64.547,61.8,59.328,61.89166666666667
64.669,61.892,59.389,61.98333333333334
