t1,t2,t3,ave
66.805,62.38,59.969,63.05133333333333
66.866,62.38,59.938,63.061333333333344
66.897,62.41,59.999,63.102000000000004
66.897,62.41,59.938,63.08166666666667
66.927,62.38,59.999,63.102000000000004
66.836,62.349,59.938,63.041
66.927,62.441,60.03,63.132666666666665
66.927,62.38,59.938,63.08166666666667
66.927,62.41,59.999,63.111999999999995
66.927,62.41,59.969,63.102
66.927,62.441,60.03,63.132666666666665
66.836,62.349,59.938,63.041
67.019,62.441,60.03,63.163333333333334
66.897,62.41,60.03,63.11233333333334
66.927,62.471,60.03,63.14266666666666
66.958,62.471,59.999,63.14266666666666
66.958,62.41,59.999,63.12233333333333
66.958,62.441,59.999,63.132666666666665
66.927,62.41,59.969,63.102
67.019,62.441,60.06,63.17333333333334
66.927,62.441,59.999,63.12233333333333
66.958,62.471,60.03,63.153
66.988,62.502,60.03,63.17333333333334
66.927,62.38,59.969,63.092000000000006
66.988,62.441,59.999,63.14266666666666
66.927,62.41,59.969,63.102
66.927,62.471,60.03,63.14266666666666
67.019,62.471,60.03,63.17333333333334
66.958,62.41,60.03,63.132666666666665
66.897,62.441,59.969,63.10233333333334
66.988,62.441,59.999,63.14266666666666
66.897,62.38,59.999,63.092000000000006
66.958,62.441,60.03,63.143
66.866,62.41,59.999,63.09166666666667
66.988,62.441,59.999,63.14266666666666
66.958,62.441,59.999,63.132666666666665
67.049,62.471,59.938,63.152666666666676
67.019,62.441,59.969,63.143
66.988,62.471,59.999,63.15266666666667
66.805,62.258,59.908,62.99033333333333
66.958,62.441,59.969,63.12266666666667
67.08,62.502,60.121,63.23433333333333
66.988,62.441,60.06,63.163000000000004
66.958,62.41,59.969,63.11233333333333
66.866,62.349,59.969,63.06133333333333
66.927,62.41,59.969,63.102
66.927,62.38,59.969,63.092000000000006
66.988,62.471,60.091,63.18333333333334
66.988,62.441,59.969,63.132666666666665
66.958,62.349,60.06,63.12233333333333
66.988,62.441,59.999,63.14266666666666
67.019,62.471,60.03,63.17333333333334
67.019,62.441,60.06,63.17333333333334
67.11,62.502,60.06,63.224
67.019,62.471,60.03,63.17333333333334
67.019,62.441,60.03,63.163333333333334
67.019,62.441,60.03,63.163333333333334
67.049,62.441,60.06,63.18333333333334
67.019,62.441,59.999,63.153
66.927,62.38,59.999,63.102000000000004
66.927,62.41,59.999,63.111999999999995
66.988,62.38,59.999,63.12233333333333
66.988,62.41,59.999,63.13233333333333
66.927,62.41,59.999,63.111999999999995
67.019,62.441,60.06,63.17333333333334
67.049,62.441,60.03,63.17333333333334
66.988,62.41,60.03,63.14266666666666
67.049,62.502,60.06,63.20366666666667
67.049,62.441,60.091,63.19366666666667
67.019,62.441,59.999,63.153
66.958,62.41,60.03,63.132666666666665
66.958,62.38,59.999,63.11233333333333
67.049,62.471,60.03,63.18333333333334
67.049,62.441,60.06,63.18333333333334
66.988,62.441,59.999,63.14266666666666
67.049,62.441,60.121,63.20366666666667
67.019,62.441,60.06,63.17333333333334
67.08,62.471,60.03,63.193666666666665
67.11,62.502,60.091,63.23433333333333
67.049,62.471,60.06,63.193333333333335
67.049,62.441,60.03,63.17333333333334
66.988,62.41,59.969,63.12233333333333
66.836,62.258,59.908,63.00066666666667
66.988,62.38,60.03,63.132666666666665
66.927,62.41,60.06,63.13233333333333
67.049,62.441,60.06,63.18333333333334
67.049,62.441,60.06,63.18333333333334
66.988,62.41,60.06,63.15266666666667
67.049,62.441,59.999,63.163000000000004
66.866,62.38,59.999,63.08166666666667
67.019,62.441,60.091,63.183666666666674
66.897,62.349,59.999,63.08166666666667
67.019,62.41,60.091,63.17333333333334
66.958,62.38,60.03,63.12266666666667
67.019,62.41,60.091,63.17333333333334
66.958,62.38,60.03,63.12266666666667
66.988,62.41,60.06,63.15266666666667
67.049,62.38,60.06,63.163000000000004
67.08,62.441,60.06,63.19366666666667
66.988,62.38,59.999,63.12233333333333
66.988,62.349,60.06,63.13233333333333
66.927,62.319,59.969,63.071666666666665
66.958,62.41,60.03,63.132666666666665
67.049,62.441,60.06,63.18333333333334
66.958,62.349,60.06,63.12233333333333
