t1,t2,t3,ave
67.171,61.769,59.816,62.91866666666667
67.049,61.678,59.755,62.827333333333335
67.049,61.708,59.725,62.827333333333335
67.11,61.708,59.786,62.867999999999995
67.141,61.769,59.786,62.898666666666664
67.171,61.769,59.725,62.88833333333333
67.293,61.831,59.877,63.000333333333344
67.202,61.8,59.816,62.93933333333334
67.141,61.8,59.755,62.898666666666664
67.171,61.769,59.816,62.91866666666667
67.11,61.769,59.786,62.88833333333333
67.049,61.678,59.786,62.83766666666667
66.988,61.617,59.694,62.76633333333333
66.958,61.617,59.694,62.75633333333334
67.202,61.739,59.816,62.919000000000004
67.141,61.769,59.847,62.919000000000004
67.171,61.769,59.786,62.90866666666667
67.141,61.769,59.786,62.898666666666664
67.141,61.708,59.786,62.87833333333333
66.988,61.647,59.725,62.78666666666666
67.11,61.708,59.725,62.84766666666666
67.141,61.739,59.725,62.86833333333333
67.08,61.769,59.755,62.867999999999995
66.958,61.678,59.725,62.787
67.232,61.769,59.664,62.88833333333334
67.11,61.739,59.725,62.858
67.08,61.647,59.725,62.81733333333333
67.019,61.617,59.786,62.80733333333333
66.988,61.678,59.725,62.797
67.11,61.708,59.755,62.85766666666666
66.958,61.617,59.725,62.76666666666666
67.11,61.739,59.786,62.87833333333333
67.141,61.739,59.755,62.87833333333333
67.08,61.678,59.725,62.82766666666666
66.988,61.678,59.786,62.81733333333333
67.049,61.678,59.755,62.827333333333335
67.08,61.739,59.755,62.858
67.11,61.739,59.755,62.867999999999995
67.141,61.769,59.816,62.90866666666667
67.049,61.708,59.786,62.84766666666667
67.11,61.708,59.725,62.84766666666666
67.08,61.708,59.725,62.83766666666667
67.11,61.708,59.755,62.85766666666666
67.141,61.769,59.786,62.898666666666664
67.11,61.678,59.755,62.84766666666667
67.141,61.831,59.847,62.939666666666675
67.141,61.769,59.816,62.90866666666667
67.08,61.739,59.816,62.87833333333333
67.049,61.708,59.786,62.84766666666667
67.141,61.8,59.786,62.909
67.11,61.739,59.786,62.87833333333333
66.988,61.678,59.725,62.797
67.11,61.739,59.786,62.87833333333333
67.049,61.678,59.725,62.81733333333333
67.049,61.708,59.725,62.827333333333335
67.049,61.739,59.755,62.84766666666667
67.11,61.739,59.755,62.867999999999995
66.988,61.647,59.725,62.78666666666666
66.988,61.708,59.755,62.817
67.049,61.678,59.725,62.81733333333333
67.049,61.678,59.694,62.806999999999995
67.11,61.708,59.725,62.84766666666666
67.08,61.708,59.755,62.84766666666667
67.141,61.769,59.755,62.88833333333333
67.049,61.739,59.725,62.83766666666667
67.08,61.708,59.786,62.858000000000004
67.08,61.708,59.755,62.84766666666667
67.049,61.678,59.725,62.81733333333333
67.08,61.708,59.786,62.858000000000004
67.049,61.678,59.725,62.81733333333333
66.988,61.647,59.755,62.79666666666666
67.11,61.678,59.755,62.84766666666667
67.08,61.708,59.755,62.84766666666667
67.019,61.708,59.725,62.81733333333333
67.08,61.708,59.725,62.83766666666667
67.11,61.708,59.725,62.84766666666666
66.988,61.647,59.725,62.78666666666666
67.049,61.647,59.725,62.806999999999995
67.08,61.678,59.694,62.81733333333333
67.049,61.708,59.755,62.83733333333333
67.049,61.708,59.755,62.83733333333333
67.11,61.739,59.725,62.858
67.049,61.678,59.664,62.797000000000004
67.049,61.708,59.725,62.827333333333335
67.049,61.708,59.694,62.81700000000001
67.019,61.647,59.694,62.78666666666667
67.019,61.617,59.694,62.776666666666664
67.11,61.739,59.725,62.858
67.11,61.708,59.755,62.85766666666666
67.019,61.647,59.725,62.797
66.958,61.586,59.694,62.746
67.049,61.708,59.725,62.827333333333335
67.08,61.708,59.725,62.83766666666667
67.049,61.708,59.786,62.84766666666667
67.019,61.678,59.725,62.80733333333333
67.232,61.8,59.786,62.93933333333333
67.11,61.708,59.786,62.867999999999995
67.08,61.739,59.755,62.858
67.049,61.708,59.694,62.81700000000001
67.049,61.708,59.755,62.83733333333333
66.897,61.556,59.725,62.726
67.08,61.739,59.755,62.858
67.019,61.708,59.725,62.81733333333333
67.263,61.861,59.786,62.97
66.988,61.678,59.725,62.797
67.08,61.739,59.664,62.827666666666666
67.141,61.739,59.755,62.87833333333333
66.988,61.708,59.725,62.806999999999995
67.08,61.739,59.725,62.84799999999999
66.988,61.678,59.694,62.78666666666667
67.019,61.678,59.664,62.787
67.08,61.739,59.725,62.84799999999999
67.049,61.678,59.694,62.806999999999995
67.019,61.678,59.725,62.80733333333333
67.019,61.678,59.725,62.80733333333333
66.988,61.647,59.694,62.77633333333333
67.049,61.678,59.694,62.806999999999995
66.988,61.647,59.694,62.77633333333333
67.019,61.678,59.664,62.787
67.11,61.739,59.725,62.858
67.049,61.708,59.755,62.83733333333333
67.11,61.708,59.694,62.83733333333333
67.049,61.739,59.725,62.83766666666667
66.988,61.647,59.694,62.77633333333333
67.11,61.708,59.694,62.83733333333333
66.988,61.647,59.664,62.76633333333333
66.836,61.525,59.572,62.64433333333333
67.11,61.769,59.786,62.88833333333333
67.019,61.678,59.694,62.797000000000004
67.141,61.8,59.755,62.898666666666664
67.08,61.739,59.786,62.86833333333333
66.988,61.617,59.725,62.776666666666664
66.958,61.586,59.725,62.75633333333332
67.049,61.678,59.725,62.81733333333333
67.019,61.647,59.664,62.776666666666664
66.988,61.617,59.664,62.75633333333334
67.08,61.708,59.725,62.83766666666667
67.08,61.739,59.755,62.858
67.08,61.678,59.694,62.81733333333333
67.08,61.708,59.694,62.82733333333334
67.019,61.678,59.694,62.797000000000004
67.019,61.678,59.725,62.80733333333333
67.08,61.739,59.755,62.858
67.019,61.739,59.725,62.827666666666666
67.019,61.678,59.725,62.80733333333333
67.049,61.708,59.725,62.827333333333335
66.988,61.647,59.725,62.78666666666666
67.019,61.708,59.694,62.806999999999995
67.049,61.708,59.786,62.84766666666667
66.958,61.647,59.725,62.776666666666664
67.049,61.708,59.725,62.827333333333335
66.927,61.647,59.694,62.75600000000001
67.019,61.678,59.755,62.81733333333333
67.049,61.678,59.755,62.827333333333335
67.141,61.739,59.725,62.86833333333333
67.11,61.739,59.725,62.858
67.019,61.678,59.725,62.80733333333333
67.019,61.708,59.755,62.827333333333335
67.049,61.708,59.694,62.81700000000001
67.11,61.769,59.755,62.87799999999999
67.019,61.678,59.755,62.81733333333333
67.049,61.647,59.755,62.817
66.958,61.678,59.725,62.787
67.019,61.647,59.755,62.806999999999995
67.08,61.769,59.755,62.867999999999995
66.958,61.678,59.633,62.75633333333334
67.08,61.739,59.786,62.86833333333333
67.08,61.739,59.725,62.84799999999999
67.202,61.831,59.816,62.94966666666667
67.11,61.769,59.725,62.867999999999995
67.049,61.678,59.755,62.827333333333335
66.988,61.647,59.725,62.78666666666666
67.08,61.739,59.786,62.86833333333333
67.11,61.708,59.755,62.85766666666666
67.019,61.708,59.786,62.83766666666667
66.988,61.647,59.694,62.77633333333333
66.927,61.617,59.664,62.73600000000001
66.958,61.647,59.603,62.736
66.988,61.678,59.694,62.78666666666667
67.019,61.647,59.694,62.78666666666667
66.927,61.586,59.694,62.73566666666667
67.019,61.678,59.725,62.80733333333333
66.988,61.678,59.725,62.797
67.019,61.678,59.755,62.81733333333333
66.988,61.617,59.694,62.76633333333333
67.019,61.647,59.694,62.78666666666667
67.049,61.678,59.725,62.81733333333333
