t1,t2,t3,ave
60.518,57.863,62.105,60.162
60.488,57.894,62.136,60.172666666666665
60.488,57.955,62.136,60.193000000000005
60.488,57.863,62.105,60.151999999999994
60.427,57.863,62.075,60.12166666666667
60.396,57.802,62.105,60.101
60.457,57.924,62.105,60.162
60.518,57.924,62.136,60.19266666666667
60.518,57.894,62.136,60.18266666666667
60.457,57.894,62.105,60.151999999999994
60.427,57.863,62.075,60.12166666666667
60.488,57.924,62.075,60.16233333333334
60.366,57.802,62.136,60.101333333333336
60.366,57.863,62.166,60.13166666666666
60.396,57.802,62.105,60.101
60.427,57.955,62.136,60.172666666666665
60.427,57.863,62.075,60.12166666666667
60.335,57.833,62.075,60.080999999999996
60.549,57.894,62.075,60.172666666666665
60.457,57.863,62.075,60.13166666666666
60.427,57.833,62.044,60.10133333333332
60.488,57.894,62.075,60.15233333333333
60.335,57.802,62.044,60.060333333333325
60.366,57.833,62.044,60.080999999999996
60.335,57.833,62.044,60.07066666666666
60.396,57.863,62.044,60.101
60.427,57.833,62.044,60.10133333333332
60.396,57.863,62.044,60.101
60.488,57.894,62.075,60.15233333333333
60.396,57.863,62.075,60.111333333333334
60.427,57.894,62.075,60.132000000000005
60.488,57.863,62.044,60.13166666666666
60.396,57.863,62.075,60.111333333333334
60.396,57.833,62.075,60.101333333333336
60.427,57.833,62.044,60.10133333333332
60.488,57.924,62.075,60.16233333333334
60.457,57.894,62.044,60.13166666666666
60.518,57.863,62.075,60.15200000000001
60.305,57.772,61.983,60.02
60.457,57.863,62.014,60.111333333333334
60.305,57.802,62.014,60.040333333333336
60.335,57.833,61.983,60.050333333333334
60.457,57.894,62.075,60.141999999999996
60.274,57.772,62.075,60.04033333333333
60.396,57.833,61.983,60.07066666666666
60.305,57.741,61.983,60.00966666666667
60.427,57.833,62.044,60.10133333333332
60.396,57.802,62.014,60.070666666666675
60.335,57.802,62.044,60.060333333333325
60.396,57.833,62.014,60.080999999999996
60.366,57.833,62.014,60.071
60.366,57.802,62.014,60.06066666666667
60.457,57.894,62.075,60.141999999999996
60.366,57.833,62.014,60.071
60.366,57.863,62.044,60.091
60.427,57.863,62.075,60.12166666666667
60.335,57.802,62.014,60.050333333333334
60.366,57.802,62.075,60.080999999999996
60.396,57.833,62.014,60.080999999999996
60.518,57.894,62.105,60.172333333333334
60.396,57.863,62.044,60.101
60.518,57.955,62.075,60.18266666666667
60.335,57.802,62.014,60.050333333333334
60.366,57.833,62.075,60.09133333333333
60.396,57.802,62.044,60.08066666666667
60.396,57.833,62.044,60.091
60.305,57.802,62.105,60.07066666666666
60.396,57.833,62.075,60.101333333333336
60.396,57.833,62.044,60.091
60.457,57.894,62.044,60.13166666666666
60.366,57.894,62.075,60.11166666666666
60.335,57.802,62.075,60.07066666666666
60.427,57.894,62.044,60.12166666666667
60.335,57.863,62.014,60.070666666666675
60.366,57.802,62.014,60.06066666666667
60.152,57.68,61.922,59.918
60.366,57.833,62.044,60.080999999999996
60.366,57.863,62.044,60.091
60.305,57.802,62.044,60.050333333333334
60.396,57.833,62.044,60.091
60.396,57.863,62.014,60.091
60.488,57.894,62.105,60.16233333333333
60.305,57.802,62.014,60.040333333333336
60.427,57.863,62.044,60.111333333333334
60.366,57.833,62.044,60.080999999999996
60.427,57.833,62.044,60.10133333333332
60.427,57.833,62.075,60.11166666666666
60.335,57.802,61.983,60.04
60.335,57.833,62.014,60.06066666666667
60.427,57.924,62.014,60.12166666666667
60.488,57.863,61.953,60.101333333333336
60.335,57.863,61.983,60.06033333333334
60.396,57.802,61.983,60.06033333333334
60.366,57.894,62.044,60.10133333333332
60.335,57.772,61.983,60.03
60.396,57.833,62.014,60.080999999999996
60.427,57.894,62.075,60.132000000000005
60.335,57.802,62.014,60.050333333333334
60.427,57.863,62.044,60.111333333333334
