t1,t2,t3,ave
63.387,61.617,58.992,61.331999999999994
63.448,61.647,59.023,61.37266666666667
63.479,61.678,59.053,61.40333333333333
63.479,61.647,59.053,61.393
63.448,61.678,59.053,61.393
63.54,61.739,59.084,61.45433333333333
63.54,61.678,59.114,61.443999999999996
63.509,61.678,59.053,61.413333333333334
63.479,61.647,59.084,61.403333333333336
63.479,61.617,59.084,61.39333333333334
63.448,61.617,59.023,61.36266666666666
63.448,61.678,59.053,61.393
63.479,61.678,59.053,61.40333333333333
63.509,61.678,59.114,61.43366666666666
63.54,61.769,59.084,61.464333333333336
63.448,61.647,59.084,61.393
63.54,61.708,59.114,61.454
63.417,61.647,59.084,61.382666666666665
63.509,61.708,59.084,61.43366666666666
63.54,61.708,59.114,61.454
63.509,61.708,59.114,61.443666666666665
63.448,61.708,59.053,61.403
63.479,61.708,59.114,61.43366666666666
63.448,61.647,59.114,61.403
63.509,61.678,59.114,61.43366666666666
63.479,61.678,59.114,61.42366666666666
63.417,61.678,59.084,61.393
63.509,61.708,59.114,61.443666666666665
63.509,61.708,59.145,61.454
63.479,61.708,59.114,61.43366666666666
63.479,61.678,59.114,61.42366666666666
63.265,61.525,59.023,61.270999999999994
63.54,61.678,59.145,61.45433333333333
63.479,61.708,59.084,61.42366666666667
63.448,61.647,59.084,61.393
63.479,61.678,59.145,61.434
63.509,61.708,59.053,61.423333333333325
63.326,61.617,59.084,61.34233333333333
63.417,61.647,59.084,61.382666666666665
63.54,61.739,59.114,61.464333333333336
63.448,61.647,59.053,61.382666666666665
63.387,61.647,59.084,61.37266666666667
63.509,61.708,59.145,61.454
63.509,61.678,58.962,61.383
63.54,61.678,59.084,61.434
63.448,61.678,59.053,61.393
63.387,61.647,59.084,61.37266666666667
63.356,61.617,59.084,61.35233333333334
63.417,61.678,59.145,61.413333333333334
63.448,61.708,59.114,61.42333333333334
63.326,61.617,59.084,61.34233333333333
63.417,61.708,59.145,61.42333333333334
63.631,61.739,59.145,61.505
63.295,61.556,59.023,61.291333333333334
63.479,61.739,59.145,61.45433333333333
63.479,61.678,59.175,61.443999999999996
63.387,61.617,59.084,61.36266666666666
63.54,61.708,59.145,61.464333333333336
63.479,61.708,59.145,61.443999999999996
63.509,61.678,59.114,61.43366666666666
63.479,61.647,59.175,61.43366666666666
63.54,61.769,59.175,61.49466666666666
63.479,61.708,59.145,61.443999999999996
63.54,61.769,59.175,61.49466666666666
63.387,61.708,59.114,61.403
63.479,61.708,59.175,61.454
63.417,61.647,59.145,61.403
