,t1,t2,t3,ave
0,50.691,50.264,48.738,49.89766666666667
1,50.691,50.264,48.677,49.87733333333333
2,50.783,50.356,48.799,49.97933333333334
3,50.874,50.447,48.769,50.03
4,50.783,50.356,48.769,49.96933333333334
5,50.813,50.325,48.769,49.969
6,50.752,50.325,48.738,49.93833333333333
7,50.905,50.478,48.799,50.06066666666667
8,50.752,50.356,48.769,49.959
9,50.844,50.447,48.799,50.03
10,50.752,50.356,48.799,49.969
11,50.783,50.417,48.799,49.99966666666666
12,50.783,50.356,48.769,49.96933333333334
13,50.722,50.325,48.799,49.94866666666667
14,50.874,50.478,48.891,50.080999999999996
15,50.752,50.356,48.799,49.969
16,50.966,50.478,48.891,50.11166666666667
17,50.874,50.447,48.83,50.050333333333334
18,50.783,50.417,48.83,50.01
19,50.722,50.295,48.769,49.928666666666665
20,50.783,50.356,48.799,49.97933333333334
21,50.996,50.539,48.86,50.13166666666666
22,50.722,50.356,48.769,49.949000000000005
23,50.813,50.386,48.891,50.03
24,50.752,50.386,48.83,49.98933333333334
25,50.783,50.417,48.83,50.01
26,50.691,50.356,48.799,49.94866666666667
27,50.752,50.386,48.83,49.98933333333334
28,50.783,50.417,48.891,50.03033333333334
29,50.813,50.417,48.83,50.02
30,50.752,50.386,48.799,49.979000000000006
31,50.813,50.386,48.799,49.99933333333334
32,50.844,50.417,48.83,50.03033333333334
33,50.722,50.386,48.799,49.969
34,50.783,50.417,48.83,50.01
35,50.813,50.417,48.799,50.00966666666667
36,50.752,50.447,48.769,49.98933333333334
37,50.661,50.295,48.769,49.90833333333333
38,50.783,50.356,48.738,49.959
39,50.722,50.325,48.738,49.928333333333335
40,50.905,50.447,48.647,49.99966666666666
41,50.844,50.386,48.738,49.98933333333334
42,50.783,50.447,48.769,49.99966666666666
43,50.722,50.356,48.769,49.949000000000005
44,50.661,50.295,48.708,49.888
45,50.813,50.447,48.891,50.050333333333334
46,50.661,50.325,48.677,49.88766666666667
47,50.691,50.295,48.708,49.898
48,50.569,50.233,48.769,49.857
49,50.844,50.478,48.769,50.03033333333334
50,50.691,50.325,48.738,49.918000000000006
51,50.691,50.356,48.769,49.93866666666667
52,50.966,50.539,48.921,50.141999999999996
53,50.905,50.508,48.83,50.080999999999996
54,50.905,50.478,48.769,50.05066666666667
55,50.813,50.447,48.83,50.03
56,50.783,50.447,48.83,50.02
57,50.722,50.356,48.799,49.959
58,50.752,50.356,48.738,49.94866666666667
59,50.874,50.569,48.891,50.111333333333334
60,50.752,50.417,48.799,49.98933333333334
61,50.874,50.508,48.83,50.07066666666666
62,50.752,50.386,48.769,49.969
63,50.783,50.447,48.769,49.99966666666666
64,50.569,50.233,48.677,49.82633333333333
65,50.752,50.356,48.799,49.969
66,50.722,50.386,48.769,49.959
67,50.722,50.356,48.799,49.959
68,50.752,50.417,48.708,49.959
69,50.844,50.417,48.799,50.02
70,50.722,50.325,48.738,49.928333333333335
71,50.874,50.508,48.86,50.08066666666667
72,50.813,50.478,48.799,50.03
73,50.783,50.417,48.769,49.989666666666665
74,50.722,50.356,48.677,49.91833333333333
75,50.783,50.478,48.799,50.02
76,50.691,50.356,48.738,49.928333333333335
77,50.722,50.386,48.799,49.969
78,50.783,50.417,48.769,49.989666666666665
79,50.691,50.356,48.708,49.91833333333333
80,50.691,50.325,48.738,49.918000000000006
81,50.63,50.325,48.647,49.867333333333335
82,50.691,50.325,48.677,49.89766666666667
83,50.813,50.386,48.738,49.979000000000006
84,50.783,50.386,48.738,49.969
85,50.6,50.295,48.647,49.84733333333333
86,50.874,50.478,48.799,50.050333333333334
87,50.813,50.478,48.799,50.03
88,50.752,50.386,48.738,49.958666666666666
89,50.844,50.447,48.769,50.02
90,50.691,50.356,48.677,49.907999999999994
91,50.752,50.356,48.738,49.94866666666667
92,50.783,50.386,48.799,49.98933333333334
93,50.813,50.447,48.769,50.00966666666667
94,50.691,50.356,48.677,49.907999999999994
95,50.63,50.264,48.708,49.867333333333335
96,50.783,50.417,48.769,49.989666666666665
97,50.752,50.356,48.769,49.959
98,50.783,50.386,48.708,49.959
99,50.813,50.417,48.738,49.98933333333334
100,50.752,50.386,48.769,49.969
101,50.752,50.356,48.708,49.93866666666667
102,50.722,50.386,48.769,49.959
103,50.783,50.356,48.769,49.96933333333334
104,50.691,50.356,48.677,49.907999999999994
105,50.722,50.325,48.769,49.93866666666667
106,50.783,50.386,48.708,49.959
107,50.722,50.356,48.738,49.93866666666667
108,50.874,50.447,48.83,50.050333333333334
109,50.722,50.325,48.738,49.928333333333335
110,50.691,50.325,48.738,49.918000000000006
111,50.691,50.325,48.677,49.89766666666667
112,50.783,50.417,48.769,49.989666666666665
113,50.569,50.203,48.708,49.826666666666675
114,50.783,50.386,48.708,49.959
115,50.691,50.325,48.738,49.918000000000006
116,50.691,50.295,48.677,49.88766666666667
117,50.691,50.356,48.891,49.97933333333333
118,50.783,50.417,48.83,50.01
119,50.722,50.417,48.769,49.96933333333334
120,50.874,50.478,48.86,50.07066666666666
121,50.935,50.569,48.83,50.111333333333334
122,50.874,50.417,48.769,50.02
123,50.691,50.325,48.738,49.918000000000006
124,50.813,50.356,48.738,49.969
125,50.813,50.386,48.769,49.98933333333334
126,50.844,50.417,48.799,50.02
127,50.661,50.325,48.677,49.88766666666667
128,50.783,50.356,48.738,49.959
129,50.691,50.325,48.677,49.89766666666667
130,50.722,50.325,48.708,49.91833333333333
131,50.813,50.417,48.769,49.99966666666666
132,50.661,50.264,48.677,49.867333333333335
133,50.783,50.386,48.799,49.98933333333334
134,50.661,50.325,48.708,49.898
135,50.844,50.386,48.799,50.00966666666667
136,50.722,50.325,48.738,49.928333333333335
137,50.722,50.356,48.708,49.928666666666665
138,50.722,50.264,48.708,49.898
139,50.752,50.325,48.616,49.89766666666666
140,50.752,50.386,48.769,49.969
141,50.783,50.356,48.708,49.949000000000005
142,50.691,50.325,48.616,49.87733333333333
143,50.722,50.264,48.738,49.907999999999994
144,50.752,50.295,48.677,49.907999999999994
145,50.722,50.325,48.708,49.91833333333333
146,50.752,50.295,48.708,49.91833333333333
147,50.783,50.386,48.708,49.959
148,50.691,50.264,48.647,49.867333333333335
149,50.539,50.142,48.585,49.75533333333334
150,50.722,50.264,48.677,49.88766666666667
151,50.813,50.325,48.708,49.94866666666667
152,50.813,50.325,48.708,49.94866666666667
153,50.783,50.325,48.708,49.93866666666667
154,50.691,50.264,48.738,49.89766666666667
155,50.752,50.325,48.647,49.907999999999994
156,50.722,50.356,48.738,49.93866666666667
157,50.783,50.325,48.677,49.928333333333335
158,50.783,50.325,48.708,49.93866666666667
159,50.691,50.264,48.647,49.867333333333335
160,50.783,50.356,48.677,49.93866666666667
161,50.813,50.325,48.677,49.93833333333333
162,50.813,50.325,48.738,49.958666666666666
163,50.813,50.356,48.677,49.94866666666667
164,50.783,50.295,48.677,49.91833333333333
165,50.752,50.325,48.708,49.928333333333335
166,50.813,50.356,48.708,49.959
167,50.874,50.386,48.738,49.99933333333333
168,50.783,50.325,48.677,49.928333333333335
169,50.783,50.325,48.677,49.928333333333335
170,50.691,50.264,48.708,49.88766666666667
171,50.783,50.295,48.677,49.91833333333333
172,50.783,50.325,48.647,49.91833333333333
173,50.874,50.386,48.738,49.99933333333333
174,50.752,50.325,48.677,49.918
175,50.722,50.264,48.708,49.898
176,50.874,50.417,48.769,50.02
177,50.813,50.325,48.708,49.94866666666667
178,50.813,50.356,48.738,49.969
179,50.813,50.356,48.738,49.969
180,50.844,50.356,48.799,49.99966666666666
181,50.874,50.386,48.769,50.00966666666667
182,50.874,50.386,48.769,50.00966666666667
183,50.783,50.295,48.738,49.93866666666667
184,50.783,50.295,48.677,49.91833333333333
185,50.874,50.356,48.738,49.98933333333334
186,50.752,50.295,48.738,49.928333333333335
187,50.752,50.264,48.677,49.89766666666667
188,50.874,50.356,48.738,49.98933333333334
189,50.905,50.417,48.738,50.02
190,50.844,50.356,48.708,49.96933333333334
191,50.783,50.264,48.677,49.907999999999994
192,50.813,50.295,48.647,49.91833333333333
193,50.752,50.295,48.677,49.907999999999994
194,50.996,50.386,48.647,50.00966666666667
195,50.844,50.325,48.708,49.959
196,50.783,50.203,48.585,49.857
197,50.752,50.233,48.647,49.87733333333333
198,50.813,50.295,48.738,49.94866666666667
199,50.783,50.264,48.677,49.907999999999994
200,50.813,50.325,48.738,49.958666666666666
201,50.813,50.295,48.677,49.928333333333335
202,50.813,50.295,48.708,49.93866666666667
203,50.813,50.295,48.677,49.928333333333335
204,50.722,50.233,48.647,49.867333333333335
205,50.874,50.356,48.708,49.97933333333333
206,50.844,50.325,48.708,49.959
207,50.874,50.356,48.708,49.97933333333333
208,50.874,50.325,48.677,49.958666666666666
209,50.844,50.295,48.738,49.959
210,50.844,50.325,48.738,49.969
211,50.874,50.356,48.738,49.98933333333334
212,50.844,50.325,48.738,49.969
213,50.935,50.356,48.769,50.02
214,50.874,50.295,48.738,49.969
215,50.813,50.295,48.738,49.94866666666667
216,50.844,50.325,48.738,49.969
217,50.874,50.295,48.799,49.98933333333334
218,50.844,50.295,48.677,49.93866666666667
219,50.844,50.295,48.677,49.93866666666667
220,50.874,50.386,48.738,49.99933333333333
221,50.844,50.325,48.769,49.97933333333334
222,50.783,50.233,48.647,49.88766666666666
223,50.844,50.356,48.708,49.96933333333334
224,50.905,50.386,48.738,50.00966666666667
225,50.935,50.325,48.799,50.019666666666666
226,50.874,50.325,48.738,49.979000000000006
227,50.844,50.295,48.708,49.949000000000005
228,50.966,50.356,48.708,50.01
229,50.844,50.264,48.708,49.93866666666667
230,50.844,50.264,48.677,49.928333333333335
231,50.813,50.203,48.616,49.87733333333333
232,50.844,50.295,48.677,49.93866666666667
233,50.813,50.264,48.708,49.928333333333335
234,50.996,50.417,48.83,50.080999999999996
235,50.752,50.172,48.677,49.867
236,50.752,50.203,48.738,49.89766666666667
237,50.905,50.356,48.769,50.01
238,50.874,50.295,48.738,49.969
239,50.874,50.325,48.738,49.979000000000006
240,50.874,50.295,48.738,49.969
241,50.905,50.295,48.738,49.97933333333333
242,50.905,50.264,48.708,49.959
243,50.966,50.386,48.769,50.040333333333336
244,50.935,50.356,48.738,50.00966666666667
245,50.844,50.233,48.708,49.928333333333335
246,50.874,50.295,48.738,49.969
247,50.874,50.295,48.738,49.969
248,50.935,50.295,48.799,50.00966666666667
249,50.813,50.233,48.769,49.93833333333333
250,50.935,50.325,48.83,50.03
251,50.844,50.264,48.708,49.93866666666667
252,50.966,50.295,48.738,49.99966666666666
253,50.844,50.233,48.769,49.94866666666667
254,50.844,50.264,48.738,49.94866666666667
255,50.874,50.264,48.708,49.94866666666667
256,50.844,50.325,48.799,49.98933333333334
257,50.905,50.233,48.738,49.958666666666666
258,50.905,50.295,48.799,49.99966666666666
259,50.905,50.295,48.799,49.99966666666666
260,50.905,50.295,48.799,49.99966666666666
261,50.905,50.325,48.769,49.99966666666666
262,50.966,50.325,48.799,50.03
263,50.905,50.264,48.769,49.97933333333334
264,51.027,50.478,48.952,50.15233333333333
265,50.935,50.325,48.83,50.03
266,50.874,50.295,48.86,50.00966666666667
267,50.905,50.203,48.738,49.94866666666667
268,50.905,50.264,48.769,49.97933333333334
269,50.844,50.233,48.708,49.928333333333335
270,50.783,50.172,48.677,49.87733333333333
271,50.813,50.203,48.952,49.98933333333334
272,50.874,50.203,48.799,49.958666666666666
273,50.905,50.325,48.86,50.03
274,50.996,50.295,48.83,50.04033333333333
275,50.813,50.203,48.769,49.928333333333335
276,50.996,50.264,48.769,50.00966666666667
277,50.722,50.111,48.647,49.82666666666666
278,50.935,50.295,48.799,50.00966666666667
279,50.905,50.295,48.769,49.989666666666665
280,50.844,50.172,48.738,49.918
281,50.844,50.233,48.769,49.94866666666667
282,50.905,50.295,48.799,49.99966666666666
283,50.874,50.203,48.769,49.94866666666667
284,50.935,50.233,48.799,49.989000000000004
285,50.844,50.233,48.83,49.968999999999994
286,50.783,50.142,48.738,49.88766666666667
287,50.966,50.295,48.799,50.02
288,50.874,50.233,48.769,49.958666666666666
289,50.905,50.233,48.799,49.979000000000006
290,50.905,50.233,48.83,49.98933333333334
291,50.935,50.264,48.799,49.99933333333334
292,50.935,50.264,48.799,49.99933333333334
293,50.874,50.142,48.769,49.928333333333335
294,50.905,50.233,48.799,49.979000000000006
295,50.905,50.203,48.769,49.959
296,50.874,50.233,48.799,49.96866666666667
297,50.905,50.203,48.769,49.959
298,50.935,50.264,48.83,50.00966666666667
299,50.844,50.142,48.769,49.91833333333333
300,50.935,50.233,48.799,49.989000000000004
301,50.874,50.203,48.83,49.968999999999994
302,50.935,50.203,48.769,49.969
303,50.844,50.142,48.738,49.907999999999994
304,50.905,50.203,48.83,49.97933333333333
305,50.874,50.172,48.738,49.928
306,50.935,50.172,48.799,49.96866666666667
307,50.935,50.172,48.83,49.979000000000006
308,50.905,50.172,48.83,49.968999999999994
309,50.844,50.172,48.799,49.93833333333333
310,50.935,50.203,48.799,49.979000000000006
311,50.905,50.233,48.769,49.969
312,50.905,50.203,48.769,49.959
313,50.935,50.233,48.799,49.989000000000004
314,50.905,50.203,48.799,49.969
315,50.874,50.203,48.799,49.958666666666666
316,50.874,50.172,48.769,49.93833333333333
317,50.966,50.233,48.83,50.00966666666667
318,50.905,50.172,48.83,49.968999999999994
319,50.844,50.203,48.738,49.928333333333335
320,50.874,50.203,48.83,49.968999999999994
321,50.874,50.203,48.769,49.94866666666667
322,50.905,50.203,48.83,49.97933333333333
323,50.935,50.203,48.86,49.99933333333333
324,50.935,50.233,48.799,49.989000000000004
325,50.905,50.233,48.83,49.98933333333334
326,50.844,50.142,48.799,49.928333333333335
327,50.844,50.172,48.769,49.928333333333335
328,50.844,50.172,48.769,49.928333333333335
329,50.874,50.203,48.799,49.958666666666666
330,50.905,50.264,48.83,49.99966666666668
331,50.844,50.142,48.799,49.928333333333335
332,50.783,50.203,48.83,49.93866666666667
333,50.844,50.233,48.83,49.968999999999994
334,50.813,50.172,48.738,49.90766666666667
335,50.844,50.172,48.738,49.918
336,50.722,50.111,48.708,49.847
337,50.905,50.203,48.799,49.969
338,50.874,50.233,48.799,49.96866666666667
339,50.874,50.203,48.799,49.958666666666666
340,50.935,50.264,48.799,49.99933333333334
341,50.905,50.233,48.83,49.98933333333334
342,50.996,50.325,48.891,50.07066666666666
343,50.813,50.172,48.738,49.90766666666667
344,50.905,50.233,48.83,49.98933333333334
345,50.874,50.233,48.83,49.979000000000006
346,50.844,50.203,48.799,49.94866666666667
347,50.844,50.233,48.799,49.958666666666666
348,50.966,50.264,48.647,49.959
349,50.905,50.233,48.769,49.969
350,50.813,50.203,48.708,49.907999999999994
351,50.783,50.142,48.769,49.898
352,50.874,50.203,48.769,49.94866666666667
353,50.844,50.233,48.799,49.958666666666666
354,50.905,50.233,48.799,49.979000000000006
355,50.783,50.203,48.769,49.91833333333333
356,50.813,50.203,48.769,49.928333333333335
357,50.874,50.203,48.799,49.958666666666666
358,50.874,50.295,48.83,49.99966666666668
359,50.813,50.233,48.799,49.94833333333333
360,50.905,50.264,48.83,49.99966666666668
361,50.844,50.203,48.83,49.959
362,50.783,50.203,48.769,49.91833333333333
363,50.844,50.264,48.799,49.969
364,50.874,50.203,48.799,49.958666666666666
365,50.844,50.172,48.799,49.93833333333333
366,50.874,50.295,48.799,49.98933333333334
367,50.783,50.203,48.769,49.91833333333333
368,50.813,50.203,48.769,49.928333333333335
369,50.844,50.233,48.738,49.93833333333333
370,50.813,50.203,48.738,49.918000000000006
371,50.813,50.233,48.799,49.94833333333333
372,50.844,50.233,48.769,49.94866666666667
373,50.813,50.233,48.799,49.94833333333333
374,50.905,50.295,48.799,49.99966666666666
375,50.813,50.233,48.738,49.928
376,50.844,50.233,48.799,49.958666666666666
377,50.844,50.264,48.799,49.969
378,50.874,50.295,48.83,49.99966666666668
379,50.874,50.295,48.799,49.98933333333334
380,50.905,50.264,48.769,49.97933333333334
381,50.783,50.264,48.769,49.93866666666667
382,50.813,50.264,48.769,49.94866666666667
383,50.752,50.233,48.738,49.90766666666667
384,50.783,50.233,48.708,49.907999999999994
385,50.783,50.295,48.769,49.949000000000005
386,50.935,50.386,48.799,50.04
387,50.844,50.264,48.738,49.94866666666667
388,50.722,50.233,48.708,49.88766666666667
389,50.844,50.325,48.83,49.99966666666668
390,50.844,50.325,48.83,49.99966666666668
391,50.844,50.295,48.799,49.97933333333334
392,50.722,50.142,48.738,49.867333333333335
393,50.844,50.295,48.799,49.97933333333334
394,50.752,50.264,48.83,49.94866666666667
395,50.783,50.233,48.769,49.928333333333335
396,50.752,50.264,48.769,49.928333333333335
397,50.783,50.233,48.769,49.928333333333335
398,50.813,50.264,48.769,49.94866666666667
399,50.783,50.264,48.769,49.93866666666667
400,50.783,50.233,48.799,49.93833333333333
401,50.813,50.233,48.769,49.93833333333333
402,50.813,50.264,48.738,49.93833333333333
403,50.752,50.233,48.738,49.90766666666667
404,50.722,50.295,48.738,49.91833333333333
405,50.783,50.264,48.708,49.91833333333333
406,50.783,50.203,48.677,49.88766666666667
407,50.813,50.295,48.738,49.94866666666667
408,50.661,50.203,48.647,49.836999999999996
409,50.752,50.233,48.738,49.90766666666667
410,50.813,50.295,48.738,49.94866666666667
411,50.752,50.264,48.738,49.918000000000006
